refListId_actual,run_id,Nombre de prédictions,n_true
0,10,15,15
0,11,14,14
0,12,16,16
0,13,16,14
0,14,16,15
0,15,16,16
0,17,15,15
0,19,16,16
0,2,16,16
0,20,15,15
0,21,15,15
0,22,16,15
0,24,16,16
0,25,16,16
0,26,14,14
0,27,15,15
0,28,14,14
0,29,14,14
0,3,15,15
0,30,16,15
0,31,15,15
0,33,13,13
0,34,14,14
0,35,14,14
0,36,16,16
0,37,15,15
0,38,15,15
0,39,15,14
0,4,16,16
0,5,15,15
0,6,16,16
0,7,14,14
0,8,14,14
0,9,15,15
1,10,10,10
1,11,10,10
1,12,9,9
1,13,10,10
1,14,10,10
1,15,10,10
1,17,10,10
1,19,10,10
1,2,10,10
1,20,10,10
1,21,10,10
1,22,10,10
1,24,10,10
1,25,10,10
1,26,11,10
1,27,10,10
1,28,10,10
1,29,10,10
1,3,10,10
1,30,9,9
1,31,10,10
1,33,9,9
1,34,10,10
1,35,10,10
1,36,9,9
1,37,10,10
1,38,10,10
1,39,10,10
1,4,9,9
1,5,10,10
1,6,10,10
1,7,9,9
1,8,10,10
1,9,9,9
2,10,31,31
2,11,32,32
2,12,33,33
2,13,31,31
2,14,33,32
2,15,33,33
2,17,32,32
2,19,35,32
2,2,32,30
2,20,31,29
2,21,36,33
2,22,35,34
2,24,31,30
2,25,34,31
2,26,33,30
2,27,37,34
2,28,31,29
2,29,27,24
2,3,33,30
2,30,34,31
2,31,33,30
2,33,26,25
2,34,29,29
2,35,33,33
2,36,30,29
2,37,31,31
2,38,29,29
2,39,30,30
2,4,35,33
2,5,32,32
2,6,31,30
2,7,31,31
2,8,32,32
2,9,30,30
3,10,8,8
3,11,8,7
3,12,10,10
3,13,8,8
3,14,10,10
3,15,8,8
3,17,10,10
3,19,9,9
3,2,9,9
3,20,10,10
3,21,8,8
3,22,7,7
3,24,10,10
3,25,11,10
3,26,10,9
3,27,11,10
3,28,9,9
3,29,9,9
3,3,9,9
3,30,10,10
3,31,10,9
3,33,8,8
3,34,10,9
3,35,10,10
3,36,10,10
3,37,10,10
3,38,9,9
3,39,5,5
3,4,12,10
3,5,11,10
3,6,10,9
3,7,7,7
3,8,10,10
4,10,11,10
4,11,10,10
4,12,10,10
4,13,10,10
4,14,11,10
4,15,10,10
4,17,10,10
4,19,11,10
4,2,9,9
4,20,11,10
4,21,10,10
4,22,11,10
4,24,10,10
4,25,10,10
4,26,10,10
4,27,10,10
4,28,11,10
4,29,10,10
4,3,10,10
4,30,10,10
4,31,11,10
4,33,10,10
4,34,10,10
4,35,10,10
4,36,10,10
4,37,10,10
4,38,10,10
4,39,10,10
4,4,10,10
4,5,10,10
4,6,10,10
4,7,10,10
4,8,10,10
4,9,10,10
5,10,37,37
5,11,35,35
5,12,38,36
5,13,38,36
5,14,38,38
5,15,36,36
5,17,36,34
5,19,39,38
5,2,38,37
5,20,33,32
5,21,37,35
5,22,39,38
5,24,37,36
5,25,38,36
5,26,34,34
5,27,39,37
5,28,38,37
5,29,31,31
5,3,36,36
5,30,38,36
5,31,37,36
5,33,37,37
5,34,37,36
5,35,34,33
5,36,37,37
5,37,36,36
5,38,30,30
5,39,32,32
5,4,31,31
5,5,38,38
5,6,40,38
5,7,39,38
5,8,37,37
5,9,41,38
6,10,24,24
6,11,23,23
6,12,26,24
6,13,22,22
6,14,24,24
6,15,25,23
6,17,25,24
6,19,24,24
6,2,24,23
6,20,23,23
6,21,21,20
6,22,24,24
6,24,22,22
6,25,22,22
6,26,22,21
6,27,22,22
6,28,20,20
6,29,23,23
6,3,23,22
6,30,25,24
6,31,23,23
6,33,24,23
6,34,21,19
6,35,23,23
6,36,23,23
6,37,24,24
6,38,24,24
6,39,26,24
6,4,24,23
6,5,24,24
6,6,24,24
6,7,24,24
6,8,22,22
6,9,24,24
7,10,10,10
7,11,11,10
7,12,10,10
7,13,11,10
7,14,11,10
7,15,10,10
7,17,11,9
7,19,9,8
7,2,9,9
7,20,10,10
7,21,11,10
7,22,10,9
7,24,10,9
7,25,11,10
7,26,10,10
7,27,10,10
7,28,9,9
7,29,10,10
7,3,9,9
7,30,10,10
7,31,10,10
7,33,10,10
7,34,10,10
7,35,10,10
7,36,10,10
7,37,10,10
7,38,10,10
7,39,10,10
7,4,10,10
7,5,10,10
7,6,10,10
7,7,10,10
7,8,10,10
7,9,9,9
8,10,41,38
8,11,33,26
8,12,38,38
8,13,39,36
8,14,35,34
8,15,40,40
8,17,41,38
8,19,40,39
8,2,33,32
8,20,43,40
8,21,41,38
8,22,38,35
8,24,41,40
8,25,31,28
8,26,39,37
8,27,31,31
8,28,44,40
8,29,39,36
8,3,42,38
8,30,42,39
8,31,38,37
8,33,34,32
8,34,37,37
8,35,13,11
8,36,40,39
8,37,41,40
8,38,38,38
8,39,41,37
8,4,33,30
8,5,38,38
8,6,37,36
8,7,37,37
8,8,42,40
8,9,35,34
9,10,8,8
9,11,8,8
9,12,8,8
9,13,8,8
9,14,8,8
9,15,8,8
9,17,8,8
9,19,8,8
9,2,8,8
9,20,8,8
9,21,8,8
9,22,8,8
9,24,8,8
9,25,9,8
9,26,9,8
9,27,8,8
9,28,7,7
9,29,8,8
9,3,8,8
9,30,8,8
9,31,8,8
9,33,8,8
9,34,8,8
9,35,8,8
9,36,8,8
9,37,7,7
9,38,8,8
9,39,8,8
9,4,8,8
9,5,8,8
9,6,7,7
9,7,9,8
9,8,7,7
9,9,8,8
